PRODUCTO,CANTIDAD,ENTRADA/SALIDA,CONCEPTO,DOCUMENTO,STATUS,CADENA,FECHA DE ENVIO/RECEPCION,GRUPO,COSTO UNIT,MES,A¥O
"GLOBO METALICO NUMERO 8 DE 16""",2000,ENTRADA,COMPRA,P03587,STOCK,CENTRO,04/01/2024,FIESTA,2.5,1,2024
"GLOBO METALICO NUMERO 9 DE 16""",1000,ENTRADA,COMPRA,P03587,STOCK,CENTRO,04/01/2024,FIESTA,2.5,1,2024
ASADOR NORTE¥O,72,ENTRADA,COMPRA,P03588,STOCK,SERVICIOS INDUSTRIALES,18/01/2024,COCINA,40.55,1,2024
RUEDA PORTAMACETA S/FRENO,1500,ENTRADA,COMPRA,P03590,STOCK,BUCHELI,17/01/2024,INSUMOS,11.63,1,2024
RUEDA PORTAMACETA C/FRENO,1500,ENTRADA,COMPRA,P03590,STOCK,BUCHELI,17/01/2024,INSUMOS,12.65,1,2024
CONTENEDOR D - LT1B059,8960,ENTRADA,COMPRA,P03591,STOCK,LUIN,23/02/2024,CONTENEDORES,5.1,1,2024
CONTENEDOR F-LV1B041,840,ENTRADA,COMPRA,P03591,STOCK,LUIN,26/02/2024,CONTENEDORES,6.44,1,2024
CUADRO DECORATIVO 60X90 RELIGIOSO,25,ENTRADA,COMPRA,P03596,STOCK,BELLO,23/02/2024,MARCOS,91.93,1,2024
CONTENEDOR E  -LT1B028,7056,ENTRADA,COMPRA,P03597,STOCK,VACA,17/01/2024,CONTENEDORES,4.3,1,2024
TAPA R-110,40000,ENTRADA,COMPRA,P03597,STOCK,VACA,17/01/2024,CONTENEDORES,1.1,1,2024
MANTEL TABLON LISO,7800,ENTRADA,COMPRA,P03598,STOCK,CENTRO,04/01/2024,FIESTA,9,1,2024
VELA MAGICA NUMERO 7,456,ENTRADA,COMPRA,P03598,STOCK,CENTRO,04/01/2024,FIESTA,4.2,1,2024
TIRA 50,1000,ENTRADA,COMPRA,P03601,STOCK,BELLO,23/02/2024,MARCOS,9.01,1,2024
JALADOR ECONOMICO 30 CM NEGRO,72,ENTRADA,COMPRA,P03602,STOCK,CENTRO,11/01/2024,LIMPIEZA,26.8,1,2024
JALADOR NEGRO 40 CM,72,ENTRADA,COMPRA,P03602,STOCK,CENTRO,11/01/2024,LIMPIEZA,26,1,2024
RECOGEDOR DE COLUMPIO,24,ENTRADA,COMPRA,P03602,STOCK,CENTRO,11/01/2024,LIMPIEZA,41.53,1,2024
EXPRIMIDOR,2040,ENTRADA,COMPRA,P03605,STOCK,NORDITALIA,19/01/2024,UTENSILIOS,6,1,2024
RODILLO,1500,ENTRADA,COMPRA,P03607,STOCK,MARTIN SANCHEZ,16/01/2024,COCINA,17,1,2024
LENTE DE PLUMA 1.50,40,ENTRADA,COMPRA,P03608,STOCK,CENTRO LENTE,11/01/2024,LENTE,16,1,2024
LENTE DE PLUMA 1.75,16,ENTRADA,COMPRA,P03608,STOCK,CENTRO LENTE,11/01/2024,LENTE,16,1,2024
LENTE DE PLUMA 2.00,32,ENTRADA,COMPRA,P03608,STOCK,CENTRO LENTE,11/01/2024,LENTE,16,1,2024
LENTE DE PLUMA 2.25,16,ENTRADA,COMPRA,P03608,STOCK,CENTRO LENTE,11/01/2024,LENTE,16,1,2024
LENTE DE PLUMA 2.50,24,ENTRADA,COMPRA,P03608,STOCK,CENTRO LENTE,11/01/2024,LENTE,16,1,2024
LENTE DE PLUMA 2.75,16,ENTRADA,COMPRA,P03608,STOCK,CENTRO LENTE,11/01/2024,LENTE,16,1,2024
JALADOR LIMPIAVIDRIOS 24 CM NEGRO,500,ENTRADA,COMPRA,P03609,STOCK,TREVI¥O,16/01/2024,AUTOS,19.9,1,2024
PINZA METALICA 40 CM PARRILLERA,700,ENTRADA,COMPRA,P03610,STOCK,NORDITALIA,10/01/2024,UTENSILIOS,15,1,2024
TENEDOR 2 PUNTAS EXTRA LARGO,400,ENTRADA,COMPRA,P03610,STOCK,NORDITALIA,11/01/2024,UTENSILIOS,16.59,1,2024
CHEFF ASADOR EXTRA LARGO,300,ENTRADA,COMPRA,P03610,STOCK,NORDITALIA,11/01/2024,COCINA,17.1,1,2024
ASADOR NORTE¥O,170,ENTRADA,COMPRA,P03611,STOCK,SERVICIOS INDUSTRIALES,18/01/2024,COCINA,40.55,1,2024
CUCHARA LISA NYLON,1600,ENTRADA,COMPRA,P03612,STOCK,NORDITALIA,18/01/2024,UTENSILIOS,4.6,1,2024
CUCHARA RANURADA NYLON,4220,ENTRADA,COMPRA,P03612,STOCK,NORDITALIA,18/01/2024,UTENSILIOS,4.6,1,2024
MACHACADOR NYLON,2000,ENTRADA,COMPRA,P03612,STOCK,NORDITALIA,18/01/2024,UTENSILIOS,4.6,1,2024
CUCHARON NYLON,2700,ENTRADA,COMPRA,P03612,STOCK,NORDITALIA,18/01/2024,UTENSILIOS,4.6,1,2024
PALA PARA PASTEL NYLON,3400,ENTRADA,COMPRA,P03612,STOCK,NORDITALIA,18/01/2024,UTENSILIOS,4.6,1,2024
VOLTEADOR ABANICO NYLON,1900,ENTRADA,COMPRA,P03612,STOCK,NORDITALIA,18/01/2024,UTENSILIOS,4.6,1,2024
VOLTEADOR RECTO NYLON,1400,ENTRADA,COMPRA,P03612,STOCK,NORDITALIA,18/01/2024,UTENSILIOS,4.6,1,2024
MARCO 25X25 PLANA 2,100,ENTRADA,COMPRA,P03613,STOCK,BELLO,11/01/2024,MARCOS,8.82,1,2024
MARCO 20X20 PLANA 2,100,ENTRADA,COMPRA,P03613,STOCK,BELLO,11/01/2024,MARCOS,7.83,1,2024
MARCO 30X40 PLANA 2,120,ENTRADA,COMPRA,P03613,STOCK,BELLO,11/01/2024,MARCOS,9.14,1,2024
MACOPAN 30X40,300,ENTRADA,COMPRA,P03615,STOCK,PEDRO SOTELO,09/01/2024,RESPALDOS,2.89,1,2024
LUZ -LAZER  LED PARA BICICLETA CON PROYECTOR DE CARRIL,50,ENTRADA,COMPRA,P03618,STOCK,CENTRO,11/01/2024,BICICLETAS,25,1,2024
GABINETE CHOCOLATE 30X40,588,ENTRADA,COMPRA,P03619,STOCK,MANZANARES,13/02/2024,HOGAR,26,1,2024
PORTAMACETAS 25X25 ARMADO CON LLANTAS,500,ENTRADA,COMPRA,P03620,STOCK,MANZANARES,13/02/2024,OTROS,37,1,2024
PORTAMACETAS 35X35 ARMADO CON LLANTAS,500,ENTRADA,COMPRA,P03620,STOCK,MANZANARES,13/02/2024,OTROS,41,1,2024
ENCENDEDOR RIGIDO,18000,ENTRADA,COMPRA,P03624,STOCK,ALMET,23/01/2024,COCINA,6.47,1,2024
ENCENDEDOR RIGIDO,10000,ENTRADA,COMPRA,P03626,STOCK,VILCHES,22/01/2024,COCINA,6.47,1,2024
TABLA CUADRADA 20X30,500,ENTRADA,COMPRA,P03632,STOCK,JUAN CARLOS SAVEEDRA,19/01/2024,COCINA,15.55,1,2024
TABLA CUADRADA 25X30,500,ENTRADA,COMPRA,P03632,STOCK,JUAN CARLOS SAVEEDRA,19/01/2024,COCINA,25.2,1,2024
JALADOR LIMPIAVIDRIOS 24 CM NEGRO,2500,ENTRADA,COMPRA,P03609,STOCK,TREVI¥O,11/01/2024,AUTOS,19.9,1,2024
EXPRIMIDOR,3000,ENTRADA,COMPRA,P03605,STOCK,NORDITALIA,12/01/2024,UTENSILIOS,6,1,2024
CUCHARA RANURADA NYLON,380,ENTRADA,COMPRA,P03612,STOCK,NORDITALIA,12/01/2024,UTENSILIOS,4.6,1,2024
RUEDA PORTAMACETA S/FRENO,1000,ENTRADA,COMPRA,P03636,STOCK,BUCHELI,17/01/2024,INSUMOS,11.63,1,2024
RUEDA PORTAMACETA C/FRENO,1000,ENTRADA,COMPRA,P03636,STOCK,BUCHELI,17/01/2024,INSUMOS,12.65,1,2024
TIRA 50,1000,ENTRADA,COMPRA,P03637,STOCK,BELLO,30/01/2024,MARCOS,9.01,1,2024
TIRA 20,1000,ENTRADA,COMPRA,P03637,STOCK,BELLO,30/01/2024,MARCOS,5.58,1,2024
TABLA CUADRADA 20X20,1500,ENTRADA,COMPRA,P03638,STOCK,JUAN CARLOS SAVEEDRA,19/01/2024,COCINA,10,1,2024
BASTON CON ASIENTO,30,ENTRADA,COMPRA,P03639,STOCK,SUPERCONFORT,15/01/2024,ORTOPEDIA,239,1,2024
RODILLO,1500,ENTRADA,COMPRA,P03640,STOCK,MARTIN SANCHEZ,24/01/2024,COCINA,17,1,2024
MICROFIBRA 30X30 VARIOS COLORES,1600,ENTRADA,COMPRA,P03641,STOCK,CECILIA FARAH,16/01/2024,LIMPIEZA,2.5,1,2024
MICROFIBRA 40X40 VARIOS COLORES,1600,ENTRADA,COMPRA,P03641,STOCK,CECILIA FARAH,16/01/2024,LIMPIEZA,5,1,2024
GABINETE BLANCO 30X40,100,ENTRADA,COMPRA,P03642,STOCK,MANZANARES,13/02/2024,HOGAR,26,1,2024
PINZA METALICA 40 CM PARRILLERA,1000,ENTRADA,COMPRA,P03643,STOCK,NORDITALIA,19/01/2024,UTENSILIOS,15,1,2024
PINZA GALVANIZADA 30CM,1400,ENTRADA,COMPRA,P03643,STOCK,NORDITALIA,19/01/2024,UTENSILIOS,19.48,1,2024
PORTACALIENTE DE ACERO 26 CM,600,ENTRADA,COMPRA,P03643,STOCK,NORDITALIA,26/01/2024,COCINA,11.18,1,2024
BURBUJAS BASTON GRANDE 125ML,624,ENTRADA,COMPRA,P03644,STOCK,CENTRO,17/01/2024,OTROS,7.92,1,2024
JALADOR LIMPIAVIDRIOS 24 CM NEGRO,1500,ENTRADA,COMPRA,P03645,STOCK,TREVI¥O,16/01/2024,AUTOS,19.9,1,2024
CORTINA METALICA FIESTA,12000,ENTRADA,COMPRA,P03646,STOCK,CENTRO,17/01/2024,FIESTA,7,1,2024
JALADOR LIMPIAVIDRIOS 24 CM NEGRO,1200,ENTRADA,COMPRA,P03647,STOCK,TREVI¥O,16/01/2024,AUTOS,19.9,1,2024
LETRERO FELIZ CUMPLEA¥OS GLOBO,600,ENTRADA,COMPRA,P03648,STOCK,CENTRO,17/01/2024,FIESTA,10,1,2024
TOPPER CAKE,2000,ENTRADA,COMPRA,P03648,STOCK,CENTRO,17/01/2024,FIESTA,5,1,2024
LETRERO BABY SHOWER GLOBO,100,ENTRADA,COMPRA,P03648,STOCK,CENTRO,17/01/2024,FIESTA,0,1,2024
"GLOBO METALICO NUMERO 9 DE 16""",1500,ENTRADA,COMPRA,P03648,STOCK,CENTRO,17/01/2024,FIESTA,2.5,1,2024
CUCHARA LISA NYLON,2300,ENTRADA,COMPRA,P03650,STOCK,NORDITALIA,31/01/2024,UTENSILIOS,4.6,1,2024
CUCHARA RANURADA NYLON,620,ENTRADA,COMPRA,P03650,STOCK,NORDITALIA,29/01/2024,UTENSILIOS,4.6,1,2024
MACHACADOR NYLON,3000,ENTRADA,COMPRA,P03650,STOCK,NORDITALIA,08/02/2024,UTENSILIOS,4.6,1,2024
CUCHARON NYLON,2100,ENTRADA,COMPRA,P03650,STOCK,NORDITALIA,29/01/2024,UTENSILIOS,4.6,1,2024
PALA PARA PASTEL NYLON,1600,ENTRADA,COMPRA,P03650,STOCK,NORDITALIA,29/01/2024,UTENSILIOS,4.6,1,2024
VOLTEADOR ABANICO NYLON,2400,ENTRADA,COMPRA,P03650,STOCK,NORDITALIA,29/01/2024,UTENSILIOS,4.6,1,2024
VOLTEADOR RECTO NYLON,2700,ENTRADA,COMPRA,P03650,STOCK,NORDITALIA,31/01/2024,UTENSILIOS,4.6,1,2024
CUCHARA PARA SPAGHETTI NYLON,300,ENTRADA,COMPRA,P03650,STOCK,NORDITALIA,08/02/2024,UTENSILIOS,4.6,1,2024
PINZA DE PAN,920,ENTRADA,COMPRA,P03652,STOCK,CENTRO,17/01/2024,UTENSILIOS,7.08,1,2024
BOMBA PARA INFLAR 10-9030,100,ENTRADA,COMPRA,P03652,STOCK,CENTRO,17/01/2024,BICICLETAS,58.5,1,2024
EXPRIMIDOR,2880,ENTRADA,COMPRA,P03653,STOCK,NORDITALIA,26/01/2024,UTENSILIOS,6,1,2024
RACK DOBLE ROPA GUARDAROPA CLOSET,10,ENTRADA,COMPRA,P03654,STOCK,CENTRO,08/02/2024,MERCADO LIBRE,340,1,2024
ORGANIZADOR LAPICES POST IT 1023,10,ENTRADA,COMPRA,P03654,STOCK,CENTRO,08/02/2024,MERCADO LIBRE,15,1,2024
CESTO CALADO,3600,ENTRADA,COMPRA,P03661,STOCK,PEONIA DE SAN LUIS,06/02/2024,LIMPIEZA,8.2,1,2024
MATAMOSCAS PLASTICO,3320,ENTRADA,COMPRA,P03662,STOCK,NORDITALIA,26/01/2024,HOGAR,2.25,1,2024
PINZA PARA ROPA 30 PZAS,906,ENTRADA,COMPRA,P03662,STOCK,NORDITALIA,14/02/2024,HOGAR,6.9,1,2024
BANNER FELIZ CUMPLEA¥OS,7600,ENTRADA,COMPRA,P03663,STOCK,CENTRO,20/01/2024,FIESTA,12,1,2024
CUCHARA RANURADA NYLON,380,ENTRADA,COMPRA,P03650,STOCK,NORDITALIA,18/01/2024,UTENSILIOS,4.6,1,2024
PINZA DE HIELO,8000,ENTRADA,COMPRA,P03666,STOCK,SERVICIOS INDUSTRIALES,18/01/2024,UTENSILIOS,7,1,2024
EXPRIMIDOR,2160,ENTRADA,COMPRA,P03653,STOCK,NORDITALIA,19/01/2024,UTENSILIOS,6,1,2024
CAJA 20 PZAS MICROFIBRA 3B,1000,ENTRADA,COMPRA,P03702,STOCK,CECILIA FARAH,19/01/2024,AUTOS,271,1,2024
PINZA DE HIELO,10000,ENTRADA,COMPRA,P03670,STOCK,NORDITALIA,02/02/2024,UTENSILIOS,7,1,2024
MATAMOSCAS PLASTICO,180,ENTRADA,COMPRA,P03674,STOCK,NORDITALIA,26/01/2024,HOGAR,2.25,1,2024
PINZA PARA ROPA 30 PZAS,1318,ENTRADA,COMPRA,P03674,STOCK,NORDITALIA,20/02/2024,HOGAR,6.9,1,2024
JUEGO DE 2 COLADERAS CH Y MD,2600,ENTRADA,COMPRA,P03675,STOCK,NORDITALIA,07/02/2024,COCINA,7.1,1,2024
MATAMOSCAS PLASTICO,820,ENTRADA,COMPRA,P03675,STOCK,NORDITALIA,19/02/2024,HOGAR,2.25,1,2024
PINZA PARA ROPA 30 PZAS,2704,ENTRADA,COMPRA,P03675,STOCK,NORDITALIA,29/02/2024,HOGAR,6.9,1,2024
CESTO CALADO,5142,ENTRADA,COMPRA,P03676,STOCK,PEONIA DE SAN LUIS,06/02/2024,LIMPIEZA,8.2,1,2024
LENTE DE PLUMA 1.75,16,ENTRADA,COMPRA,P03677,STOCK,CENTRO LENTE,31/01/2024,LENTE,16,1,2024
LENTE DE PLUMA 2.00,48,ENTRADA,COMPRA,P03677,STOCK,CENTRO LENTE,31/01/2024,LENTE,16,1,2024
LENTE DE PLUMA 2.25,32,ENTRADA,COMPRA,P03677,STOCK,CENTRO LENTE,31/01/2024,LENTE,16,1,2024
LENTE DE PLUMA 2.75,8,ENTRADA,COMPRA,P03677,STOCK,CENTRO LENTE,31/01/2024,LENTE,16,1,2024
LENTE DE PLUMA 2.50,16,ENTRADA,COMPRA,P03677,STOCK,CENTRO LENTE,31/01/2024,LENTE,16,1,2024
LENTE DE PLUMA 1.25,24,ENTRADA,COMPRA,P03677,STOCK,CENTRO LENTE,31/01/2024,LENTE,16,1,2024
LENTE DE PLUMA 1.50,8,ENTRADA,COMPRA,P03677,STOCK,CENTRO LENTE,31/01/2024,LENTE,16,1,2024
BASTON CON ASIENTO,100,ENTRADA,COMPRA,P03679,STOCK,SUPERCONFORT,23/01/2024,ORTOPEDIA,239,1,2024
EXPRIMIDOR,720,ENTRADA,COMPRA,P03680,STOCK,NORDITALIA,26/01/2024,UTENSILIOS,6,1,2024
MOLCAJETE,90,ENTRADA,COMPRA,P03701,STOCK,VIRIDIANA,23/01/2024,COCINA,105,1,2024
JALADOR LIMPIAVIDRIOS 24 CM NEGRO,3000,ENTRADA,COMPRA,P03684,STOCK,TREVI¥O,24/01/2024,AUTOS,19.9,1,2024
CUCHARA SOPERA ACERO,15600,ENTRADA,COMPRA,P03686,STOCK,PEONIA DE SAN LUIS,25/01/2024,UTENSILIOS,1.08,1,2024
TENEDOR ACERO,12000,ENTRADA,COMPRA,P03686,STOCK,PEONIA DE SAN LUIS,25/01/2024,UTENSILIOS,1.08,1,2024
LUZ -LAZER  LED PARA BICICLETA CON PROYECTOR DE CARRIL,100,ENTRADA,COMPRA,P03687,STOCK,CENTRO,31/01/2024,BICICLETAS,25,1,2024
BOMBA PARA INFLAR 10-9030,100,ENTRADA,COMPRA,P03687,STOCK,CENTRO,31/01/2024,BICICLETAS,58.5,1,2024
MINI BOMBA AIRE ALUMINIO,100,ENTRADA,COMPRA,P03687,STOCK,CENTRO,31/01/2024,BICICLETAS,52,1,2024
RELOJ,100,ENTRADA,COMPRA,P03687,STOCK,CENTRO,31/01/2024,HOGAR,69,1,2024
LETRERO FELIZ CUMPLEA¥OS GLOBO,600,ENTRADA,COMPRA,P03688,STOCK,CENTRO,29/01/2024,FIESTA,10,1,2024
TOPPER CAKE,2000,ENTRADA,COMPRA,P03688,STOCK,CENTRO,29/01/2024,FIESTA,5,1,2024
LETRERO BABY SHOWER GLOBO,100,ENTRADA,COMPRA,P03688,STOCK,CENTRO,29/01/2024,FIESTA,0,1,2024
LENTE SENCILLO DE 1.25,600,ENTRADA,COMPRA,P03689,STOCK,YIBA,29/01/2024,LENTE,7,1,2024
LENTE SENCILLO DE 1.50,1800,ENTRADA,COMPRA,P03689,STOCK,YIBA,29/01/2024,LENTE,7,1,2024
LENTE SENCILLO DE 1.75,600,ENTRADA,COMPRA,P03689,STOCK,YIBA,29/01/2024,LENTE,7,1,2024
LENTE SENCILLO DE 2.00,1800,ENTRADA,COMPRA,P03689,STOCK,YIBA,29/01/2024,LENTE,7,1,2024
LENTE SENCILLO DE 2.25,600,ENTRADA,COMPRA,P03689,STOCK,YIBA,29/01/2024,LENTE,7,1,2024
LENTE SENCILLO DE 2.50,1200,ENTRADA,COMPRA,P03689,STOCK,YIBA,29/01/2024,LENTE,7,1,2024
LENTE SENCILLO DE 3.00,600,ENTRADA,COMPRA,P03689,STOCK,YIBA,29/01/2024,LENTE,7,1,2024
LENTE SENCILLO DE 3.25,600,ENTRADA,COMPRA,P03689,STOCK,YIBA,29/01/2024,LENTE,7,1,2024
"GLOBO METALICO NUMERO 5 DE 16""",300,ENTRADA,COMPRA,P03695,STOCK,CENTRO,30/01/2024,FIESTA,2.5,1,2024
"GLOBO METALICO NUMERO 2 DE 16""",600,ENTRADA,COMPRA,P03695,STOCK,CENTRO,30/01/2024,FIESTA,2.5,1,2024
"GLOBO METALICO NUMERO 0 DE 16""",2500,ENTRADA,COMPRA,P03696,STOCK,CENTRO,30/01/2024,FIESTA,2.5,1,2024
"GLOBO METALICO NUMERO 1 DE 16""",5000,ENTRADA,COMPRA,P03696,STOCK,CENTRO,30/01/2024,FIESTA,2.5,1,2024
"GLOBO METALICO NUMERO 2 DE 16""",6000,ENTRADA,COMPRA,P03696,STOCK,CENTRO,30/01/2024,FIESTA,2.5,1,2024
"GLOBO METALICO NUMERO 3 DE 16""",4000,ENTRADA,COMPRA,P03696,STOCK,CENTRO,30/01/2024,FIESTA,2.5,1,2024
"GLOBO METALICO NUMERO 4 DE 16""",4000,ENTRADA,COMPRA,P03696,STOCK,CENTRO,30/01/2024,FIESTA,2.5,1,2024
"GLOBO METALICO NUMERO 5 DE 16""",4500,ENTRADA,COMPRA,P03696,STOCK,CENTRO,30/01/2024,FIESTA,2.5,1,2024
"GLOBO METALICO NUMERO 6 DE 16""",3600,ENTRADA,COMPRA,P03696,STOCK,CENTRO,30/01/2024,FIESTA,2.5,1,2024
"GLOBO METALICO NUMERO 7 DE 16""",2600,ENTRADA,COMPRA,P03696,STOCK,CENTRO,30/01/2024,FIESTA,2.5,1,2024
"GLOBO METALICO NUMERO 8 DE 16""",3000,ENTRADA,COMPRA,P03696,STOCK,CENTRO,30/01/2024,FIESTA,2.5,1,2024
"GLOBO METALICO NUMERO 9 DE 16""",3500,ENTRADA,COMPRA,P03696,STOCK,CENTRO,30/01/2024,FIESTA,2.5,1,2024
CONTENEDOR D - LT1B059,15040,ENTRADA,COMPRA,P03698,STOCK,LUIN,23/02/2024,CONTENEDORES,5.1,1,2024
CONTENEDOR F-LV1B041,10017,ENTRADA,COMPRA,P03698,STOCK,LUIN,26/02/2024,CONTENEDORES,6.44,1,2024
CONTENEDOR E  -LT1B028,7056,ENTRADA,COMPRA,P03699,STOCK,VACA,12/02/2024,CONTENEDORES,4.3,1,2024
TAPA R-110,40000,ENTRADA,COMPRA,P03699,STOCK,VACA,12/02/2024,CONTENEDORES,1.1,1,2024
TABLA CUADRADA 20X30,500,ENTRADA,COMPRA,P03705,STOCK,JUAN CARLOS SAVEEDRA,08/02/2024,COCINA,15.55,1,2024
TABLA CUADRADA 25X30,500,ENTRADA,COMPRA,P03705,STOCK,JUAN CARLOS SAVEEDRA,08/02/2024,COCINA,25.2,1,2024
CUCHARA PARA SPAGHETTI NYLON,2200,ENTRADA,COMPRA,P03706,STOCK,NORDITALIA,31/01/2024,UTENSILIOS,4.6,1,2024
CUCHARA RANURADA NYLON,620,ENTRADA,COMPRA,P03706,STOCK,NORDITALIA,31/01/2024,UTENSILIOS,4.6,1,2024
CUCHARON NYLON,2300,ENTRADA,COMPRA,P03706,STOCK,NORDITALIA,31/01/2024,UTENSILIOS,4.6,1,2024
PALA PARA PASTEL NYLON,2000,ENTRADA,COMPRA,P03706,STOCK,NORDITALIA,31/01/2024,UTENSILIOS,4.6,1,2024
VOLTEADOR RECTO NYLON,4500,ENTRADA,COMPRA,P03706,STOCK,NORDITALIA,31/01/2024,UTENSILIOS,4.6,1,2024
VOLTEADOR ABANICO NYLON,4000,ENTRADA,COMPRA,P03706,STOCK,NORDITALIA,31/01/2024,UTENSILIOS,4.6,1,2024
DONA ML,100,ENTRADA,COMPRA,P03707,STOCK,PEDRO DEL REY,07/02/2024,MERCADO LIBRE,36.11,1,2024
BANCO DUCHA ALUMINIO,10,ENTRADA,COMPRA,P03708,STOCK,SUPERCONFORT,07/02/2024,ORTOPEDIA,400,1,2024
COMODO BLANCO,36,ENTRADA,COMPRA,P03709,STOCK,JORGE ZARAGOZA,13/02/2024,ORTOPEDIA,195,1,2024
CAJA 20 PZAS MICROFIBRA 3B,500,ENTRADA,COMPRA,P03724,STOCK,CECILIA FARAH,24/01/2024,AUTOS,271,1,2024
CAJA 20 PZAS MICROFIBRA 3B,250,ENTRADA,COMPRA,P03724,STOCK,CECILIA FARAH,25/01/2024,AUTOS,271,1,2024
PINZA DE HIELO,5000,ENTRADA,COMPRA,P03711,STOCK,SERVICIOS INDUSTRIALES,25/01/2024,UTENSILIOS,7,1,2024
ASADOR NORTE¥O,40,ENTRADA,COMPRA,P03711,STOCK,SERVICIOS INDUSTRIALES,25/01/2024,COCINA,40.55,1,2024
CAJA 20 PZAS MICROFIBRA 3B,300,ENTRADA,COMPRA,P03724,STOCK,CECILIA FARAH,25/01/2024,AUTOS,271,1,2024
CAJA 20 PZAS MICROFIBRA 3B,100,ENTRADA,COMPRA,P03724,STOCK,CECILIA FARAH,25/01/2024,AUTOS,271,1,2024
EXPRIMIDOR,960,ENTRADA,COMPRA,P03680,STOCK,NORDITALIA,09/02/2024,UTENSILIOS,6,1,2024
MATAMOSCAS PLASTICO,1820,ENTRADA,COMPRA,P03674,STOCK,NORDITALIA,02/02/2024,HOGAR,2.25,1,2024
CAJA 20 PZAS MICROFIBRA 3B,320,ENTRADA,COMPRA,P03760,STOCK,CECILIA FARAH,29/01/2024,AUTOS,271,1,2024
CUCHARA LISA NYLON,2000,ENTRADA,COMPRA,P03650,STOCK,NORDITALIA,29/01/2024,UTENSILIOS,4.6,1,2024
CUCHARA RANURADA NYLON,380,ENTRADA,COMPRA,P03706,STOCK,NORDITALIA,29/01/2024,UTENSILIOS,4.6,1,2024
CUCHARA PARA SPAGHETTI NYLON,300,ENTRADA,COMPRA,P03706,STOCK,NORDITALIA,29/01/2024,UTENSILIOS,4.6,1,2024
JUEGO DE 2 COLADERAS CH Y MD,3300,ENTRADA,COMPRA,P03662,STOCK,NORDITALIA,29/01/2024,COCINA,7.1,1,2024
SILLA DE RUEDAS IMPORTADA,25,ENTRADA,COMPRA,P03713,STOCK,DMH,29/01/2024,ORTOPEDIA,999,1,2024
COMPRESA BOLSA PARA AGUA,200,ENTRADA,COMPRA,P03723,STOCK,DMH,29/01/2024,ORTOPEDIA,78.75,1,2024
CAJA 20 PZAS MICROFIBRA 3B,160,ENTRADA,COMPRA,P03760,STOCK,CECILIA FARAH,29/01/2024,AUTOS,271,1,2024
CAJA 20 PZAS MICROFIBRA 3B,320,ENTRADA,COMPRA,P03760,STOCK,CECILIA FARAH,29/01/2024,AUTOS,271,1,2024
RODILLO,2000,ENTRADA,COMPRA,P03710,STOCK,MARTIN SANCHEZ,12/02/2024,COCINA,17,1,2024
BASTON 4 APOYOS GRIS,20,ENTRADA,COMPRA,P03712,STOCK,JORGE ZARAGOZA,29/01/2024,ORTOPEDIA,93.5,1,2024
